Flower_ID,Experiment,Species,Focal_Loc,Plant,Ramet,Bract,Treatment,HP_time,E_time,V_time,PD_Loc,PD_plant,PD_ramet,PD_bract,Bird,Band_or_color,VisDuration,Time_to_capture,Pollen_Location,Date,Collect_HrsAfter,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Notes,Tube_Count
95,NA,H.hirsuta,Garden,G-HIR-01,6,1,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170214,NA,NA,NA,NA,NA,NA,0
117,NA,H.hirsuta,Garden,G-HIR-01,13,3,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170214,NA,NA,NA,NA,NA,NA,0
184,NA,H.hirsuta,Garden,G-HIR-01,7,1,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170214,NA,NA,NA,NA,NA,NA,1
93,NA,H.hirsuta,Garden,G-HIR-01,15,1,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170215,29,NA,NA,NA,NA,NA,0
94,NA,H.hirsuta,Garden,G-HIR-01,15,2,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170215,29,NA,NA,NA,NA,NA,1
321,NA,H.hirsuta,Garden,G-HIR-01,16,2,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170215,29,NA,NA,NA,NA,NA,0
322,NA,H.hirsuta,Garden,G-HIR-01,8,3,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170215,29,NA,NA,NA,NA,NA,1
422,NA,H.hirsuta,Pino_Colina,PC-HIR-01,NA,NA,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170221,27.5,NA,NA,NA,NA,NA,1
245,NA,H.hirsuta,Pino_Colina,PC-HIR-01,7,NA,HP,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170223,24.5,NA,NA,NA,NA,NA,1
360,NA,H.hirsuta,Pino_Colina,PC-HIR-01,5,NA,HP,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170223,26,NA,NA,NA,NA,NA,1
