Flower_ID,Experiment,Species,Focal_Loc,Plant,Treatment,HP_time,PD_Loc,PD_plant,Bird,Date,Tube_Count
283,124,H.hirsuta,Pino_Colina,PC-HIR-07,GREH,730,Garden,G-HIR-01,GREH01,20190214,1
284,124,H.hirsuta,Pino_Colina,PC-HIR-07,GREH,730,Garden,G-HIR-01,GREH01,20190214,0
282,124,H.hirsuta,Pino_Colina,PC-HIR-07,HP,730,Garden,G-HIR-01,NA,20190214,3
290,128,H.hirsuta,Pino_Colina,PC-HIR-12,HP,900,Garden,G-HIR-01,NA,20190215,1
301,132,H.hirsuta,Garden,G-HIR-01,GREH,1000,Pino_Colina,PC-HIR-12,GREH01,20190216,0
300,132,H.hirsuta,Garden,G-HIR-01,HP,1000,Pino_Colina,PC-HIR-12,NA,20190216,0
323,144,H.hirsuta,Pino_Colina,PC-HIR-08,RTAH,1030,Garden,G-HIR-01,RTAH08,20190223,1
324,144,H.hirsuta,Pino_Colina,PC-HIR-12,HP,1030,Garden,G-HIR-01,NA,20190223,0
338,152,H.hirsuta,Pino_Colina,PC-HIR-13,RTAH,800,Garden,G-HIR-01,RTAH08,20190226,5
339,152,H.hirsuta,Pino_Colina,PC-HIR-13,HP,800,Garden,G-HIR-01,NA,20190226,0
340,152,H.hirsuta,Pino_Colina,PC-HIR-05,HP,900,Garden,G-HIR-01,NA,20190226,1
341,153,H.hirsuta,Pino_Colina,PC-HIR-05,RTAH,900,Garden,G-HIR-01,RTAH08,20190226,0
356,160,H.hirsuta,Pino_Colina,PC-HIR-13,GREH,730,Garden,G-HIR-01,GREH15,20190302,1
357,160,H.hirsuta,Pino_Colina,PC-HIR-13,HP,730,Garden,G-HIR-01,NA,20190302,3
367,165,H.hirsuta,Pino_Colina,PC-HIR-05,GREH,1000,Garden,G-HIR-01,GREH18,20190306,0
368,165,H.hirsuta,Pino_Colina,PC-HIR-05,HP,1000,Garden,G-HIR-01,NA,20190306,0
396,178,H.hirsuta,Pino_Colina,PC-HIR-01,GREH,930,Pino_Colina,PC-HIR-13,GREH33,20190313,2
397,178,H.hirsuta,Pino_Colina,PC-HIR-01,GREH,930,Pino_Colina,PC-HIR-13,GREH33,20190313,1
485,218,H.hirsuta,Pino_Colina,PC-HIR-05,RTAH,730,Pino_Colina,PC-HIR-04,RTAH17,20190321,0
484,218,H.hirsuta,Pino_Colina,PC-HIR-05,HP,730,Pino_Colina,PC-HIR-04,NA,20190321,2
487,219,H.hirsuta,Pino_Colina,PC-HIR-01,HP,900,Pino_Colina,PC-HIR-04,NA,20190321,1
490,221,H.hirsuta,Pino_Colina,PC-HIR-04,RTAH,800,Garden,G-HIR-01,RTAH20,20190323,0
491,221,H.hirsuta,Pino_Colina,PC-HIR-08,HP,800,Garden,G-HIR-01,NA,20190323,2
31,11,H.rostrata,Garden,G-ROS-02,RTAH,900,Pino_Colina,PC-ROS-06,RTAH01,20180217,0
