Species,Bird,Date_caught,Location,bandORcolor,Sex,bill_length_mm,bill_chordL_mm,bill_chordtan_angle_deg
GREH,GREH01,,Garden,SA4638,M,41.1,19.829,9.508
GREH,GREH10,20190301,32,p,M,39.722,21.711,14.75
GREH,GREH11,20190301,32,b,F,43.136,20.382,12.069
GREH,GREH12,20190301,32,y,F,41.012,20.061,9.159
GREH,GREH13,20190301,32,w,F,41.269,26.28,15.328
GREH,GREH15,,Garden,,M,44.23,19.565,10.726
GREH,GREH19,20190307,Garden,SA3855,F,38.916,32.882,22.923
GREH,GREH20,20190307,Garden,red,F,45.125,27.027,21.303
GREH,GREH21,20190308,32,purple,M,44.009,28.311,16.36
GREH,GREH22,20190308,32,red,F,41.232,31.259,25.395
GREH,GREH23,20190308,32,cr8774,F,42.349,28.781,22.976
GREH,GREH24,20190308,32,pink,F,43.765,26.654,15.367
GREH,GREH25,20190312,29,blue,F,40.374,16.837,12.141
GREH,GREH26,20190312,29,blue,M,40.429,19.871,9.683
GREH,GREH27,20190312,29,white,F,42.941,25.016,22.014
GREH,GREH28,20190312,29,pink,F,41.79,18.228,9.789
GREH,GREH29,20190312,29,purple,F,41.937,24.696,17.023
GREH,GREH30,20190312,29,w,M,42.201,18.904,9.832
GREH,GREH31,20190312,29,y,F,42.776,21.703,16.515
GREH,GREH32,20190313,Pino_Colina,blue&yellow,F,42.509,18.734,16.011
GREH,GREH34,20190314,201,pink&white,F,41.632,17.823,11.401
GREH,GREH35,20190318,58,pink,F,42.037,22.348,15.543
GREH,GREH36,20190318,58,white,F,40.413,23.708,12.274
GREH,GREH37,20190318,58,SA4683,F,40.341,23.797,13.546
GREH,GREH40,20190322,16,purple&purple,F,39.876,20.909,16.532
GREH,GREH41,20190322,16,yellow&yellow,M,42.668,15.923,7.901
GREH,GREH42,20190322,16,,M,43.45,20.378,11.055
RTAH,RTAH99,,,,M,25.96,21.645,9.327
RTAH,RTAH08,,,,,21.281,15.96,6.39
RTAH,RTAH13,20190319,,,,21.058,17.178,7.545
RTAH,RTAH14,20190319,,,,20.7,14.733,8.383
RTAH,RTAH15,20190319,,,,20.772,14.341,6.86
RTAH,RTAH16,20190319,,,,23.945,17.804,9.481
RTAH,RTAH17,20190321,,,,21.076,18.241,9.09
RTAH,RTAH18,20190321,,,,21.718,17.578,8.279
RTAH,RTAH19,20190321,,,,20.568,16.246,7.695
RTAH,RTAH20,20190321,,,,20.228,14.321,8.432
RTAH,RTAH21,20190323,,,,22.279,17.368,7.389
RTAH,RTAH22,20190323,,,,20.92,16.091,6.008
RTAH,RTAH23,20190323,,,M,21.06,15.555,6.629
RTAH,RTAH24,20190325,,,,20.897,16.18,5.727
