Flower_ID,Experiment,Species,Focal_Loc,Plant,Treatment,HP_time,PD_Loc,PD_plant,Date,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Tube_Count
75,17_001,H.tortuosa,Garden,G-TOR-02,HPNE,930,Garden,G-TOR-01,20170213,NA,NA,NA,NA,0
76,17_001,H.tortuosa,Garden,G-TOR-02,HPNE,930,Garden,G-TOR-01,20170213,NA,NA,NA,NA,0
137,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170218,NA,NA,NA,NA,0
165,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170218,NA,NA,NA,NA,0
222,17_043,H.tortuosa,Garden,G-TOR-02,HPNE,630,Garden,G-TOR-01,20170303,NA,NA,NA,NA,0
227,17_043,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170303,NA,NA,NA,NA,0
230,17_043,H.tortuosa,Garden,G-TOR-01,HPNE,NA,Garden,G-TOR-02,20170303,NA,5.5,16.2,NA,0
308,17_050,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,800,Garden,G-ROS-02,20170308,NA,18,28.5,NA,0
332,17_037,H.tortuosa,Garden,G-TOR-02,HPNE,700,Garden,G-TOR-01,20170228,NA,5.5,12,NA,0
333,17_048,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,830,Garden,G-ROS-01,20170307,NA,35,26.8,0,0
334,17_048,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,830,Garden,G-ROS-01,20170307,NA,35.5,29.3,1,0
343,17_052,H.rostrata,Pino_Colina,PC-ROS-04,HPNE,700,Garden,G-ROS-02,20170314,NA,33,10,0,0
344,17_060,H.rostrata,Garden,G-ROS-02,HPNE,800,Pino_Colina,PC-ROS-01,20170317,NA,27,25.4,1,0
364,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,730,Garden,G-TOR-01,20170217,NA,NA,NA,NA,0
374,17_039,H.tortuosa,Garden,G-TOR-01,HPNE,730,Garden,G-TOR-02,20170301,NA,1,NA,NA,1
395,17_037,H.tortuosa,Garden,G-TOR-01,HPNE,630,Garden,G-TOR-02,20170228,NA,19.5,18.2,NA,0
425,17_041,H.rostrata,Garden,G-ROS-02,HPNE,630,Garden,G-ROS-01,20170302,NA,0,NA,NA,0
432,17_039,H.tortuosa,Garden,G-TOR-02,HPNE,730,Garden,G-TOR-01,20170301,NA,44,25,NA,1
463,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,800,Garden,G-TOR-01,20170217,NA,NA,NA,NA,0
501,17_050,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,800,Garden,G-ROS-02,20170308,NA,38,30,NA,0
504,17_037,H.tortuosa,Garden,G-TOR-01,HPNE,630,Garden,G-TOR-02,20170228,NA,7.5,21.4,NA,1
507,17_060,H.rostrata,Garden,G-ROS-02,HPNE,800,Pino_Colina,PC-ROS-01,20170317,NA,51.5,24.4,0,0
513,17_037,H.tortuosa,Garden,G-TOR-01,HPNE,600,Garden,G-TOR-02,20170228,NA,0,NA,NA,0
516,17_051,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170313,NA,6,29,1,0
